Year,Destination,Trips_Thousand,YoY_Change_Thousand,YoY_Change_Pct
2016,United States and Canada,12.9,-6321.1,-99.79633722766025
2016,United States and Canada,1051.1,1038.1999999999998,8048.062015503875
2017,United States and Canada,558.0,-493.0999999999999,-46.91275806298163
2017,United States and Canada,6929.0,6371.0,1141.7562724014338
2017,United States and Canada,12.4,-6916.6,-99.82104199740223
2017,United States and Canada,1137.9,1125.5,9076.612903225807
2018,United States and Canada,546.0,-591.9000000000001,-52.016873187450564
2018,United States and Canada,6347.0,5801.0,1062.4542124542124
2018,United States and Canada,11.6,-6335.4,-99.81723648968016
2018,United States and Canada,1203.3,1191.7,10273.275862068966
2019,United States and Canada,584.0,-619.3,-51.4667996343389
2019,United States and Canada,7952.0,7368.0,1261.6438356164383
2019,United States and Canada,13.6,-7938.4,-99.82897384305835
2019,United States and Canada,1331.7,1318.1000000000001,9691.911764705883
2021,United States and Canada,48.0,-1283.7,-96.39558459112413
2021,United States and Canada,355.0,307.0,639.5833333333333
2021,United States and Canada,7.4,-347.6,-97.91549295774648
2021,United States and Canada,104.0,96.6,1305.4054054054052
2022,United States and Canada,426.0,322.0,309.6153846153846
2022,United States and Canada,3907.0,3481.0,817.1361502347418
2022,United States and Canada,9.2,-3897.8,-99.76452521115947
2022,United States and Canada,1162.0,1152.8,12530.434782608696
2023,United States and Canada,656.0,-506.0,-43.545611015490536
2023,United States and Canada,6179.0,5523.0,841.9207317073171
2023,United States and Canada,9.4,-6169.6,-99.84787182391973
2023,United States and Canada,1536.0,1526.6,16240.425531914892
2024,United States and Canada,508.0,-1028.0,-66.92708333333333
2024,United States and Canada,4457.0,3949.0,777.3622047244095
2024,United States and Canada,8.8,-4448.2,-99.80255777428764
2024,United States and Canada,836.0,827.2,9399.999999999998
